"TreeID","Photo","Cond","WUE","Count","Site","lnPhoto","lnCond","lnWUE","Date","Observers","Tree_ID","Tree_Tag","Resprouting","CrownSizeShape","DeadBranches","CrownFoliarDensity","Notes"
"1_1",2.747609809,0.0335773756,81.8292007610029,5,"1",1.01073137337597,-3.39390278404979,4.40463415742576,"4/13/23","NM, AR","1_1",13,1,1,2,2,""
"1_10",1.5875759938,0.0091732626,173.065577976586,5,"1",0.462208320749209,-4.69146226537065,5.15367058611985,"4/13/23","NM, AR","1_10",22,3,4,4,4,""
"1_12",14.855537956,0.3241894614,45.8236300829981,5,"1",2.69837272205893,-1.12642717668639,3.82479989874533,"4/13/23","NM, AR","1_12",24,3,4,4,4,""
"1_2",6.57613019,0.0766976782,85.7409291171998,5,"1",1.8834464553073,-2.56788384225355,4.45133029756085,"4/13/23","NM, AR","1_2",14,3,3,3,3,""
"1_3",10.922297862,0.0588368592,185.636997122375,5,"1",2.3908063751032,-2.83298676332757,5.22379313843076,"4/13/23","NM, AR","1_3",15,3,3,3,3,""
"1_5",7.8601310382,0.2396850346,32.7935828422389,5,"1",2.06180327782886,-1.42842957336655,3.49023285119542,"4/13/23","NM, AR","1_5",17,4,3,3.5,3,""
"1_7",2.924491758,0.027519562,106.269560467568,5,"1",1.07312070763744,-3.59285818174132,4.66597888937877,"4/13/23","NM, AR","1_7",19,1,1,3,2,""
"1_8",1.5563835356,0.026205501,59.3914817961313,5,"1",0.442364883557788,-3.64178592842193,4.08415081197971,"4/13/23","NM, AR","1_8",20,1.5,3.5,3,3,""
"5_1",19.194628948,0.095992745,199.959163038832,5,"5",2.9546304976069,-2.34348266328674,5.29811316089364,"4/14/23","NM, AR","5_1",1,4,3,3,3,""
"5_10",7.4718186114,0.3235443298,23.0936472168087,5,"5",2.01113842485565,-1.12841914258993,3.13955756744558,"4/14/23","NM, AR","5_10",10,4,4,4,5,"mistletoe upper canopy"
"5_11",4.012940576,0.1731023682,23.1824706832636,5,"5",1.38952428330073,-1.75387213578437,3.14339641908511,"4/14/23","NM, AR","5_11",11,4,4,4,4,""
"5_12",3.1772724086,0.0937836868,33.8787321869287,5,"5",1.15602309558388,-2.36676435280703,3.5227874483909,"4/14/23","NM, AR","5_12",12,5,3,4.5,3,""
"5_2",13.780405684,0.1900480014,72.5101320849776,5,"5",2.62324770521022,-1.66047859978213,4.28372630499234,"4/14/23","NM, AR","5_2",2,3,4,5,4.5,""
"5_3",38.686584818,0.5670737586,68.2214336870569,5,"5",3.65549289441057,-0.567265898000512,4.22275879241108,"4/14/23","NM, AR","5_3",3,3,3,4,3.5,"mistletoe upper canopy"
"5_4",15.408331792,0.1534315614,100.424786474212,5,"5",2.73490838857262,-1.87450066544903,4.60940905402165,"4/14/23","NM, AR","5_4",4,4,5,5,4,""
"5_5",22.337098992,0.239540401,93.2498188144888,5,"5",3.10624892809161,-1.42903318742226,4.53528211551387,"4/14/23","NM, AR","5_5",5,4,4.5,5,4,""
"5_6",27.795559854,0.3111586256,89.3292281401567,5,"5",3.32487629045838,-1.1674524466735,4.49232873713188,"4/14/23","NM, AR","5_6",6,4,4,4,4.5,"mistletoe upper canopy+ reproductive structure"
"5_7",14.234677718,0.2014292866,70.6683618766289,5,"5",2.65568108036131,-1.60231689417509,4.2579979745364,"4/14/23","NM, AR","5_7",7,4,5,4,4.5,"dried mistletoe upper canopy"
"5_8",19.745381682,0.1526008644,129.392331816962,5,"5",2.98291962511648,-1.87992949566552,4.862849120782,"4/14/23","NM, AR","5_8",8,5,4,5,5,""
"5_9",59.3778612433333,1.55101884783333,38.2831332619072,6,"5",4.08392145055514,0.438912036173005,3.64500941438213,"4/14/23","NM, AR","5_9",9,5,5,5,5,""
